,id,cuisine
15680,20518,southern_us
29889,21250,thai
16623,8203,italian
26,27976,italian
19524,29028,italian
9024,24210,italian
7257,49014,indian
27757,22863,southern_us
14092,34099,italian
657,19837,mexican
8265,41296,indian
9704,48323,french
10800,44503,mexican
8908,43128,chinese
24474,3505,italian
3964,28515,brazilian
26631,35043,italian
25269,6151,chinese
18317,21832,mexican
20729,29598,mexican
1899,26400,southern_us
34097,45588,italian
1792,47386,chinese
7230,24616,italian
29143,24345,chinese
30891,29467,mexican
25389,40315,chinese
23822,42554,mexican
5270,13402,mexican
13322,38883,italian
9224,146,southern_us
31136,980,italian
20685,2026,southern_us
18353,11929,mexican
33212,48502,japanese
13994,5850,french
30286,4531,brazilian
24690,17351,jamaican
8108,2041,southern_us
35829,10684,italian
3619,45465,italian
15692,36797,italian
30368,16260,russian
38883,16197,italian
10121,20828,southern_us
27921,8834,mexican
20730,12954,chinese
38460,38721,southern_us
20105,48418,mexican
13401,21573,mexican
2140,45494,italian
18189,5683,indian
23012,25547,southern_us
30857,39376,cajun_creole
5174,49587,southern_us
23226,3868,southern_us
17651,21977,thai
29294,7460,spanish
6904,38932,italian
10804,34071,thai
22759,31950,mexican
22252,33434,italian
1723,34420,greek
3508,21131,italian
4518,37819,italian
5377,9505,italian
21524,27664,chinese
13124,32517,italian
20557,14476,chinese
29494,28165,italian
4540,2255,korean
12052,19662,vietnamese
1536,31239,mexican
16763,36572,italian
33435,34182,thai
29901,37893,french
18281,27857,mexican
31031,29557,greek
10090,37448,italian
1683,20382,thai
9767,12374,italian
7847,44684,chinese
20453,23163,japanese
34476,3448,indian
16841,8551,italian
34234,4348,thai
10449,24662,italian
5751,31165,southern_us
22077,46388,italian
24108,13274,mexican
12870,48970,italian
31377,5833,italian
31297,26734,southern_us
332,28250,italian
36578,17448,indian
38773,34139,italian
8654,13276,mexican
36422,15265,mexican
13153,28369,thai
33261,10436,vietnamese
30784,8723,cajun_creole
26281,32252,italian
36894,12944,chinese
17865,23771,mexican
37326,17901,mexican
18700,40676,chinese
27217,2950,italian
24045,19454,italian
33156,1591,italian
34077,20399,italian
27661,48273,southern_us
34105,4790,southern_us
20041,35120,chinese
1207,21508,italian
15455,25787,italian
33554,37319,italian
30606,7407,italian
37962,48660,italian
8013,2211,japanese
24401,42454,italian
12151,25775,italian
33755,5334,italian
20475,12849,italian
5671,10141,japanese
2223,10905,mexican
26849,43882,indian
1586,46189,french
28153,33878,southern_us
85,38254,italian
25578,27152,mexican
24069,45976,italian
13160,4038,italian
32674,1756,chinese
15534,36721,moroccan
19534,49625,italian
14379,45775,mexican
2153,15671,italian
19829,9612,spanish
1204,2487,indian
4182,12699,italian
6346,44410,italian
18,2941,thai
27290,14592,italian
37069,13539,russian
856,18911,southern_us
23896,46863,irish
13543,40581,french
35947,17119,japanese
8138,28883,italian
28579,24870,mexican
8234,9137,italian
4487,10718,italian
31926,2948,mexican
5024,17555,indian
24580,26763,southern_us
37181,42131,italian
23035,9990,jamaican
2379,27769,korean
27771,36079,japanese
5098,3473,mexican
11545,33445,greek
3435,3336,italian
36204,32580,italian
30140,39454,southern_us
25574,10345,mexican
35225,37559,mexican
35103,30051,italian
14446,27577,french
20160,38532,thai
39074,19621,indian
30640,27719,italian
26220,16559,indian
33774,44594,italian
5442,49092,mexican
13349,14746,italian
27864,24676,italian
22287,30972,southern_us
36883,1109,italian
24701,1603,irish
38382,15219,italian
28403,13622,italian
4737,31672,french
19544,17709,southern_us
35842,3204,british
16474,6,chinese
19435,12648,french
22934,16763,japanese
13172,8399,italian
28478,48907,italian
30511,49488,italian
17730,21135,spanish
6473,44368,southern_us
25565,27523,thai
28071,14848,indian
23138,903,italian
12823,42970,mexican
18781,13718,thai
24270,28580,italian
31405,18856,japanese
6747,27491,chinese
28812,37359,southern_us
37174,36671,french
2131,43081,italian
24855,45651,french
4743,3033,indian
34862,9963,italian
11963,16456,vietnamese
38279,12629,italian
36184,10441,french
37417,38614,vietnamese
20654,46106,southern_us
32562,43655,thai
11832,5688,italian
17287,32251,chinese
24455,2694,french
39504,30709,italian
23926,41874,italian
39031,7984,italian
19997,30616,chinese
20900,25302,chinese
5188,10477,thai
13067,6778,italian
35456,43214,cajun_creole
16536,17102,thai
18645,17568,chinese
12604,35882,french
28021,28993,chinese
30917,38758,cajun_creole
32657,34933,indian
7888,1003,mexican
6499,30419,chinese
20066,20494,chinese
3049,26962,italian
11054,35434,greek
17828,40749,italian
11893,33514,mexican
16263,8385,southern_us
5308,18558,vietnamese
866,16450,french
1209,33645,spanish
11956,12401,indian
39514,5916,japanese
25137,5144,italian
9758,11485,southern_us
30661,16463,southern_us
17457,14441,french
20483,36540,moroccan
37138,42652,italian
6313,41287,mexican
34152,40686,mexican
25068,31471,indian
34917,13416,thai
8495,33311,mexican
13347,17592,italian
18156,3579,italian
33734,6314,italian
14055,27598,southern_us
20791,36524,cajun_creole
39768,7377,italian
30074,39193,italian
26321,41623,mexican
31357,31192,chinese
39024,47373,cajun_creole
15326,47014,mexican
26614,29224,italian
31133,39269,mexican
15323,37964,italian
13978,3549,italian
31916,35842,italian
18268,29983,cajun_creole
31734,12025,mexican
37780,35268,italian
22192,43902,mexican
15362,41626,italian
9260,41153,southern_us
3668,6318,chinese
9177,16430,italian
37091,39300,mexican
33975,42648,mexican
26742,3327,italian
27961,21095,italian
354,44271,jamaican
6147,496,cajun_creole
22773,23217,italian
21079,43124,indian
26825,37694,italian
24853,20070,jamaican
34597,13450,italian
32558,6940,mexican
7191,2706,italian
30240,25277,italian
22267,4116,italian
9984,9709,italian
13497,10165,italian
